ID_Cliente,Idade,Genero,Estado_Civil,Escolaridade,Numero_de_Dependentes,Tipo_de_Residencia,Renda_Anual,Valor_do_Emprestimo,Prazo_do_Emprestimo,Inadimplencia
90,47,F,Casado,Pós-Graduação,3,Casa Própria,78000.0,19000.0,36.0,Não
91,42,M,Casado,Ensino Médio,1,Casa Própria,72000.0,16000.0,36.0,Não
92,37,F,Solteiro,Pós-Graduação,0,Casa Própria,63000.0,13000.0,24.0,Sim
93,32,F,Solteiro,Ensino Superior,1,Casa Própria,53000.0,10000.0,24.0,Sim
94,53,F,Divorciado,Ensino Médio,2,Apartamento Próprio,86000.0,19000.0,48.0,Não
95,48,M,Casado,Pós-Graduação,3,Casa Própria,,18000.0,36.0,Não
96,43,M,Casado,Ensino Médio,3,Casa Própria,72000.0,17000.0,36.0,Não
97,38,F,Divorciado,Pós-Graduação,1,Apartamento Alugado,76000.0,15000.0,24.0,Sim
98,33,M,Solteiro,Ensino Médio,0,Casa Própria,56000.0,13000.0,36.0,Não
99,28,F,Solteiro,Ensino Superior,0,Apartamento Próprio,41000.0,9000.0,24.0,Sim
100,24,M,Casado,Pós-Graduação,2,Apartamento Alugado,88000.0,21000.0,48.0,Não
101,49,M,Casado,Ensino Médio,3,Apartamento Alugado,24000.0,20000.0,36.0,Sim
102,44,M,Divorciado,Pós-Graduação,1,Casa Própria,75000.0,17000.0,36.0,Não
103,39,F,Solteiro,Ensino Superior,0,Casa Própria,68000.0,15000.0,24.0,Não
104,34,M,Solteiro,Ensino Médio,1,Casa Alugada,57000.0,13000.0,36.0,Sim
105,55,F,Divorciado,Ensino Superior,2,Casa Própria,89000.0,22000.0,48.0,Não
106,50,M,Casado,Pós-Graduação,3,Casa Alugada,82000.0,19000.0,36.0,Não
107,45,M,Casado,Ensino Médio,2,Casa Própria,75000.0,18000.0,36.0,Não
108,40,F,Divorciado,Ensino Superior,1,Casa Própria,72000.0,17000.0,36.0,Não
109,35,M,Casado,Ensino Médio,2,Apartamento Próprio,65000.0,16000.0,36.0,Não
110,25,M,Solteiro,Pós-Graduação,0,Apartamento Alugado,47000.0,11000.0,24.0,Não
111,51,M,Solteiro,Ensino Superior,2,Casa Própria,84000.0,18000.0,36.0,Não
112,46,F,Casado,Pós-Graduação,3,Apartamento Alugado,76000.0,19000.0,36.0,Não
113,41,M,Casado,Ensino Médio,1,Apartamento Alugado,69000.0,17000.0,36.0,Não
114,36,M,Solteiro,Ensino Superior,0,Casa Alugada,62000.0,14000.0,24.0,Não
115,31,F,Solteiro,Ensino Médio,0,Casa Própria,46000.0,9000.0,24.0,Sim
116,52,F,Casado,Pós-Graduação,2,Casa Alugada,86000.0,20000.0,48.0,Não
117,47,M,Casado,Ensino Médio,3,Casa Própria,79000.0,19000.0,36.0,Sim
118,42,M,Casado,Ensino Médio,1,Casa Própria,73000.0,17000.0,36.0,Não
119,37,F,Solteiro,Pós-Graduação,0,Casa Própria,63000.0,15000.0,24.0,Sim
120,32,F,Solteiro,Ensino Superior,1,Apartamento Alugado,53000.0,12000.0,36.0,Sim
121,53,F,Divorciado,Ensino Médio,2,Apartamento Alugado,86000.0,22000.0,48.0,Não
122,48,F,Casado,Pós-Graduação,3,Casa Própria,79000.0,19000.0,36.0,Não
123,43,M,Casado,Ensino Médio,3,Casa Própria,72000.0,18000.0,36.0,Não
124,38,F,Divorciado,Pós-Graduação,1,Apartamento Alugado,76000.0,16000.0,24.0,Sim
125,33,F,Solteiro,Ensino Médio,0,Casa Própria,56000.0,14000.0,36.0,Não
126,28,M,Solteiro,Ensino Superior,0,Casa Própria,41000.0,10000.0,24.0,Sim
127,54,M,Casado,Pós-Graduação,2,Apartamento Próprio,88000.0,21000.0,48.0,Não
128,49,F,Casado,Ensino Médio,3,Apartamento Alugado,81000.0,20000.0,36.0,Não
129,44,F,Divorciado,Pós-Graduação,1,Casa Própria,75000.0,17000.0,36.0,Não
130,39,F,Solteiro,Ensino Superior,0,Casa Própria,68000.0,15000.0,24.0,Não
131,34,M,Solteiro,Ensino Médio,1,Casa Alugada,57000.0,13000.0,36.0,Não
132,55,F,Divorciado,Ensino Superior,2,Casa Própria,89000.0,22000.0,48.0,Não
133,50,M,Casado,Pós-Graduação,3,Casa Alugada,82000.0,19000.0,36.0,Não
134,45,M,Casado,,2,Casa Própria,75000.0,18000.0,36.0,Não
135,40,F,Divorciado,Ensino Superior,1,Casa Própria,72000.0,17000.0,36.0,Sim
136,35,F,Casado,Ensino Médio,2,Apartamento Próprio,65000.0,16000.0,36.0,Não
137,50,F,Solteiro,Pós-Graduação,0,Apartamento Alugado,47000.0,11000.0,24.0,Sim
138,51,F,Solteiro,Ensino Superior,2,Casa Própria,84000.0,18000.0,36.0,Não
139,46,F,Casado,Pós-Graduação,3,Apartamento Alugado,76000.0,19000.0,36.0,Não
140,41,M,Casado,Ensino Médio,1,Apartamento Alugado,69000.0,17000.0,36.0,Não
141,36,F,Solteiro,Ensino Superior,0,Casa Alugada,62000.0,14000.0,24.0,Sim
142,31,M,Solteiro,Ensino Médio,0,Casa Própria,46000.0,9000.0,24.0,Sim
143,52,F,Casado,Pós-Graduação,2,Casa Alugada,86000.0,20000.0,48.0,Não
144,47,M,Casado,Ensino Médio,3,Casa Própria,79000.0,19000.0,36.0,Não
145,42,M,Casado,Ensino Médio,1,Casa Própria,73000.0,17000.0,36.0,Não
146,37,F,Solteiro,,0,Casa Própria,63000.0,15000.0,24.0,Sim
147,32,M,Solteiro,Ensino Superior,1,Apartamento Alugado,53000.0,12000.0,36.0,Não
148,53,F,Divorciado,Ensino Médio,2,Apartamento Alugado,86000.0,22000.0,48.0,Não
149,48,F,Casado,Pós-Graduação,3,Casa Própria,79000.0,19000.0,36.0,Não
150,43,F,Casado,Ensino Médio,3,Casa Própria,72000.0,18000.0,36.0,Sim
151,38,F,Divorciado,Pós-Graduação,1,Apartamento Alugado,76000.0,16000.0,24.0,Sim
152,33,M,Solteiro,Ensino Médio,0,Casa Própria,56000.0,14000.0,36.0,Não
153,28,F,Solteiro,Ensino Superior,0,Casa Própria,41000.0,10000.0,24.0,Sim
154,54,M,Casado,Pós-Graduação,2,Apartamento Próprio,88000.0,21000.0,48.0,Não
155,49,M,Casado,Ensino Médio,3,Apartamento Alugado,81000.0,20000.0,36.0,Não
156,44,F,Divorciado,Pós-Graduação,1,Casa Própria,75000.0,17000.0,36.0,Não
157,39,M,Solteiro,Ensino Superior,0,Casa Própria,68000.0,15000.0,24.0,Não
158,34,F,Solteiro,Ensino Médio,1,Casa Alugada,57000.0,13000.0,36.0,Sim
159,55,F,,Ensino Superior,2,Casa Própria,89000.0,22000.0,48.0,Não
160,50,M,Casado,Pós-Graduação,3,Casa Alugada,82000.0,19000.0,36.0,Não
161,45,M,Casado,Ensino Médio,2,Casa Própria,75000.0,18000.0,36.0,Não
162,40,F,Divorciado,Ensino Superior,1,Casa Própria,72000.0,17000.0,36.0,Não
163,35,M,Casado,Ensino Médio,2,Apartamento Próprio,65000.0,16000.0,36.0,Não
164,30,F,Solteiro,Pós-Graduação,0,Apartamento Alugado,47000.0,11000.0,24.0,Sim
165,51,M,,Ensino Superior,2,Casa Própria,84000.0,18000.0,36.0,Sim
166,46,F,Casado,Pós-Graduação,3,Apartamento Alugado,76000.0,19000.0,36.0,Não
167,41,F,Casado,Ensino Médio,1,Apartamento Alugado,69000.0,17000.0,36.0,Não
168,36,F,Solteiro,Ensino Superior,0,Casa Alugada,62000.0,14000.0,24.0,Sim
169,31,F,Solteiro,Ensino Médio,0,Casa Própria,46000.0,9000.0,24.0,Não
170,52,F,Casado,Pós-Graduação,2,Casa Alugada,86000.0,20000.0,48.0,Não
171,47,M,Casado,Ensino Médio,3,Casa Própria,79000.0,19000.0,36.0,Não
172,42,M,Casado,Ensino Médio,1,Casa Própria,73000.0,17000.0,36.0,Não
173,37,M,Solteiro,Pós-Graduação,0,Casa Própria,63000.0,15000.0,24.0,Sim
174,32,M,Solteiro,Ensino Superior,1,Apartamento Alugado,53000.0,12000.0,36.0,Não
175,53,F,Divorciado,Ensino Médio,2,Apartamento Alugado,86000.0,22000.0,48.0,Não
176,48,F,Casado,Pós-Graduação,3,Casa Própria,79000.0,19000.0,36.0,Não
177,43,M,Casado,Ensino Médio,3,Casa Própria,72000.0,18000.0,36.0,Não
178,38,F,Divorciado,Pós-Graduação,1,Apartamento Alugado,76000.0,16000.0,24.0,Não
179,33,F,Solteiro,Ensino Médio,0,Casa Própria,56000.0,14000.0,36.0,Não
180,28,,Solteiro,Ensino Superior,0,Casa Própria,41000.0,10000.0,24.0,Sim
181,54,F,Casado,Pós-Graduação,2,Apartamento Próprio,88000.0,21000.0,48.0,Não
182,49,M,Casado,Ensino Médio,3,Apartamento Alugado,81000.0,20000.0,36.0,Não
183,44,M,Divorciado,Pós-Graduação,1,Casa Própria,75000.0,17000.0,36.0,Não
184,40,F,Solteiro,Ensino Superior,0,Casa Própria,68000.0,15000.0,24.0,Sim
185,34,M,Solteiro,Ensino Médio,1,Casa Alugada,57000.0,13000.0,36.0,Não
186,55,F,Divorciado,Ensino Superior,2,Casa Própria,89000.0,22000.0,48.0,Não
187,50,M,Casado,Pós-Graduação,3,Casa Alugada,82000.0,19000.0,36.0,Sim
188,45,M,Casado,Ensino Médio,2,Casa Própria,75000.0,18000.0,36.0,Não
189,40,F,Divorciado,Ensino Superior,1,Casa Própria,72000.0,17000.0,36.0,Não
190,35,M,Casado,Ensino Médio,2,Apartamento Próprio,65000.0,16000.0,36.0,Não
191,30,M,Solteiro,Pós-Graduação,0,Apartamento Alugado,47000.0,11000.0,24.0,Sim
192,51,F,Solteiro,Ensino Superior,2,Casa Própria,84000.0,18000.0,36.0,Sim
193,46,F,Casado,Pós-Graduação,3,Apartamento Alugado,76000.0,19000.0,36.0,Não
194,41,M,Casado,Ensino Médio,1,Apartamento Alugado,69000.0,17000.0,36.0,Não
195,36,F,Casado,Ensino Superior,0,Casa Alugada,62000.0,14000.0,24.0,Não
196,31,F,Solteiro,Ensino Médio,0,Casa Própria,46000.0,9000.0,24.0,Não
197,52,F,Casado,Pós-Graduação,2,Casa Alugada,86000.0,20000.0,48.0,Não
198,47,M,Casado,Ensino Médio,3,Casa Própria,79000.0,19000.0,36.0,Não
199,42,M,Casado,Ensino Médio,1,Casa Própria,73000.0,17000.0,36.0,Não
200,37,F,Solteiro,Pós-Graduação,0,Casa Própria,63000.0,15000.0,24.0,Sim
201,32,F,Solteiro,Ensino Superior,1,Apartamento Alugado,53000.0,12000.0,36.0,Não
202,53,F,Divorciado,Ensino Médio,2,Apartamento Alugado,86000.0,22000.0,48.0,Não
203,48,M,Casado,Pós-Graduação,3,Casa Própria,79000.0,19000.0,36.0,Sim
204,43,M,Casado,Ensino Médio,3,Casa Própria,72000.0,18000.0,36.0,Sim
205,38,F,Divorciado,Pós-Graduação,1,Apartamento Alugado,76000.0,16000.0,24.0,Sim
206,33,M,Solteiro,Ensino Médio,0,Casa Própria,56000.0,14000.0,36.0,Não
207,28,F,Solteiro,Ensino Superior,0,Casa Própria,41000.0,10000.0,24.0,Sim
208,54,M,Casado,Pós-Graduação,2,Apartamento Próprio,88000.0,21000.0,48.0,Não
209,49,F,Casado,Ensino Médio,3,Apartamento Alugado,81000.0,20000.0,36.0,Não
210,44,M,Divorciado,Pós-Graduação,1,Casa Própria,75000.0,17000.0,36.0,Não
211,39,F,Solteiro,Ensino Superior,0,Casa Própria,68000.0,15000.0,24.0,Sim
212,34,M,Solteiro,Ensino Médio,1,Casa Alugada,57000.0,13000.0,36.0,Não
213,55,F,Divorciado,Ensino Superior,2,Casa Própria,89000.0,22000.0,48.0,Não
214,50,M,Casado,Pós-Graduação,3,Casa Alugada,82000.0,19000.0,36.0,Não
215,45,M,Casado,Ensino Médio,2,Casa Própria,75000.0,18000.0,36.0,Não
216,40,F,Divorciado,Ensino Superior,1,Casa Própria,72000.0,17000.0,36.0,Não
217,35,M,Casado,Ensino Médio,2,Apartamento Próprio,65000.0,16000.0,36.0,Não
218,45,M,Casado,Pós-Graduação,0,Apartamento Alugado,47000.0,11000.0,24.0,Sim
219,51,M,Solteiro,Ensino Superior,2,Casa Própria,84000.0,18000.0,36.0,Não
220,46,F,Casado,Pós-Graduação,3,Apartamento Alugado,76000.0,19000.0,36.0,Não
221,41,F,Casado,Ensino Médio,1,Apartamento Alugado,69000.0,17000.0,36.0,Não
222,36,M,Solteiro,Ensino Superior,0,Casa Alugada,62000.0,14000.0,24.0,Não
223,31,F,Casado,Ensino Médio,0,Casa Própria,46000.0,9000.0,24.0,Sim
224,52,F,Casado,Pós-Graduação,2,Casa Alugada,86000.0,20000.0,48.0,Não
225,47,M,Casado,Ensino Médio,3,Casa Própria,79000.0,19000.0,36.0,Não
226,42,M,Casado,Ensino Médio,1,Casa Própria,73000.0,17000.0,36.0,Não
227,37,F,Casado,Pós-Graduação,0,Casa Própria,63000.0,15000.0,24.0,Sim
228,32,M,Solteiro,Ensino Superior,1,Apartamento Alugado,53000.0,12000.0,36.0,Não
229,53,F,Divorciado,Ensino Médio,2,Apartamento Alugado,86000.0,22000.0,48.0,Não
230,48,M,Casado,Pós-Graduação,3,Casa Própria,79000.0,19000.0,36.0,Não
231,43,M,Casado,Ensino Médio,3,Casa Própria,72000.0,18000.0,36.0,Não
232,38,,Divorciado,Pós-Graduação,1,Apartamento Alugado,76000.0,16000.0,24.0,Sim
233,33,M,Solteiro,Ensino Médio,0,Casa Própria,56000.0,14000.0,36.0,Não
234,28,F,Casado,Ensino Superior,0,Casa Própria,41000.0,10000.0,24.0,Sim
235,54,F,Casado,Pós-Graduação,2,Apartamento Próprio,88000.0,21000.0,48.0,Não
236,49,M,Casado,Ensino Médio,3,Apartamento Alugado,81000.0,20000.0,36.0,Não
237,44,F,Divorciado,Pós-Graduação,1,Casa Própria,75000.0,17000.0,36.0,Não
238,39,F,Solteiro,Ensino Superior,0,Casa Própria,68000.0,15000.0,24.0,Sim
239,34,M,Solteiro,Ensino Médio,1,Casa Alugada,57000.0,13000.0,36.0,Não
240,55,F,Divorciado,Ensino Superior,2,Casa Própria,89000.0,22000.0,48.0,Não
241,50,M,Casado,Pós-Graduação,3,Casa Alugada,82000.0,19000.0,36.0,Não
242,45,F,Casado,Ensino Médio,2,Casa Própria,75000.0,18000.0,36.0,Não
243,40,F,Divorciado,Ensino Superior,1,Casa Própria,72000.0,17000.0,36.0,Não
244,35,M,Casado,Ensino Médio,2,Apartamento Próprio,65000.0,16000.0,36.0,Não
245,30,F,Solteiro,Pós-Graduação,0,Apartamento Alugado,47000.0,11000.0,24.0,Sim
246,51,M,Solteiro,Ensino Superior,2,Casa Própria,84000.0,18000.0,36.0,Não
247,46,F,Casado,Pós-Graduação,3,Apartamento Alugado,76000.0,19000.0,36.0,Não
248,41,F,Casado,Ensino Médio,1,Apartamento Alugado,69000.0,17000.0,36.0,Sim
249,36,F,Solteiro,Ensino Superior,0,Casa Alugada,62000.0,14000.0,24.0,Sim
250,31,F,Solteiro,Ensino Médio,0,Casa Própria,46000.0,9000.0,24.0,Sim
